%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
35	7	512757.38000	4198320.82000	4198307.76000	512734.47000	10.02229	45.30000
35	8	512757.38000	4198320.82000	4198307.21000	512733.63000	10.08820	44.50000
36	1	512757.13000	4198321.09000	4198311.11000	512739.50000	8.16097	42.60000
36	2	512757.13000	4198321.09000	4198310.58000	512738.65000	8.12598	42.50000
36	3	512757.13000	4198321.09000	4198310.05000	512737.80000	8.39104	42.80000
36	4	512757.13000	4198321.09000	4198309.52000	512736.95000	8.85614	43.60000
36	5	512757.13000	4198321.09000	4198309.00000	512736.10000	9.21798	43.80000
36	6	512757.13000	4198321.09000	4198308.47000	512735.25000	9.58315	44.30000
36	7	512757.13000	4198321.09000	4198307.94000	512734.40000	9.84835	45.10000
36	8	512757.13000	4198321.09000	4198307.41000	512733.55000	9.91358	44.40000
37	1	512756.55000	4198321.46000	4198311.08000	512739.55000	7.93485	42.50000
37	2	512756.55000	4198321.46000	4198310.47000	512738.76000	7.89426	42.50000
37	3	512756.55000	4198321.46000	4198309.86000	512737.97000	8.25402	42.80000
37	4	512756.55000	4198321.46000	4198309.25000	512737.18000	8.71408	43.60000
37	5	512756.55000	4198321.46000	4198308.64000	512736.39000	9.07439	43.80000
37	6	512756.55000	4198321.46000	4198308.02000	512735.59000	9.44412	44.30000
37	7	512756.55000	4198321.46000	4198307.41000	512734.80000	9.70488	45.40000
37	8	512756.55000	4198321.46000	4198306.80000	512734.01000	9.76581	44.40000
38	1	512755.95000	4198321.73000	4198311.05000	512739.53000	8.01510	42.70000
38	2	512755.95000	4198321.73000	4198310.35000	512738.82000	8.06481	42.70000
38	3	512755.95000	4198321.73000	4198309.66000	512738.10000	8.31747	42.90000
38	4	512755.95000	4198321.73000	4198308.96000	512737.38000	8.77477	43.50000
38	5	512755.95000	4198321.73000	4198308.27000	512736.66000	9.22911	43.90000
38	6	512755.95000	4198321.73000	4198307.57000	512735.94000	9.08796	44.20000
38	7	512755.95000	4198321.73000	4198306.88000	512735.22000	9.84359	45.50000
38	8	512755.95000	4198321.73000	4198306.18000	512734.50000	9.90365	44.30000
39	1	512755.68000	4198321.93000	4198311.06000	512739.54000	7.82963	42.80000
39	2	512755.68000	4198321.93000	4198310.39000	512738.79000	8.09196	42.80000
39	3	512755.68000	4198321.93000	4198309.73000	512738.04000	8.15105	43.20000
39	4	512755.68000	4198321.93000	4198309.06000	512737.30000	8.80893	43.30000
39	5	512755.68000	4198321.93000	4198308.40000	512736.55000	9.26886	43.80000
39	6	512755.68000	4198321.93000	4198307.74000	512735.80000	9.72910	44.70000
39	7	512755.68000	4198321.93000	4198307.07000	512735.05000	9.79350	45.40000
39	8	512755.68000	4198321.93000	4198306.41000	512734.31000	9.64892	44.40000
40	1	512755.46000	4198322.13000	4198311.09000	512739.55000	7.76722	42.50000
40	2	512755.46000	4198322.13000	4198310.42000	512738.80000	8.13069	42.60000
40	3	512755.46000	4198322.13000	4198309.75000	512738.06000	8.18919	42.90000
40	4	512755.46000	4198322.13000	4198309.08000	512737.32000	8.64811	43.40000
40	5	512755.46000	4198322.13000	4198308.41000	512736.57000	9.11279	43.80000
40	6	512755.46000	4198322.13000	4198307.75000	512735.83000	9.46847	44.40000
40	7	512755.46000	4198322.13000	4198307.08000	512735.09000	9.72834	45.50000
40	8	512755.46000	4198322.13000	4198306.41000	512734.34000	9.79380	44.40000
41	1	512755.29000	4198322.31000	4198311.08000	512739.60000	7.82046	42.60000
41	2	512755.29000	4198322.31000	4198310.33000	512738.93000	7.87331	42.60000
41	3	512755.29000	4198322.31000	4198309.59000	512738.26000	8.22362	42.90000
41	4	512755.29000	4198322.31000	4198308.85000	512737.59000	8.67508	43.50000
41	5	512755.29000	4198322.31000	4198308.10000	512736.93000	9.12636	43.90000
41	6	512755.29000	4198322.31000	4198307.36000	512736.26000	9.47978	44.20000
41	7	512755.29000	4198322.31000	4198306.61000	512735.59000	9.73812	45.20000
41	8	512755.29000	4198322.31000	4198305.87000	512734.92000	9.89304	44.50000
42	1	512754.85000	4198322.78000	4198311.02000	512739.62000	7.88531	42.70000
42	2	512754.85000	4198322.78000	4198310.15000	512739.12000	7.90398	42.70000
42	3	512754.85000	4198322.78000	4198309.28000	512738.63000	8.32196	42.80000
42	4	512754.85000	4198322.78000	4198308.41000	512738.14000	8.74391	43.60000
42	5	512754.85000	4198322.78000	4198307.54000	512737.65000	9.16935	43.80000
42	6	512754.85000	4198322.78000	4198306.67000	512737.16000	9.59788	44.30000
42	7	512754.85000	4198322.78000	4198305.80000	512736.67000	9.82914	45.30000
42	8	512754.85000	4198322.78000	4198304.93000	512736.18000	9.96282	44.40000
43	1	512754.46000	4198323.26000	4198311.00000	512739.69000	7.65437	42.60000
43	2	512754.46000	4198323.26000	4198310.05000	512739.37000	7.82573	42.60000
43	3	512754.46000	4198323.26000	4198309.10000	512739.05000	8.20553	42.90000
43	4	512754.46000	4198323.26000	4198308.15000	512738.73000	8.69274	43.50000
43	5	512754.46000	4198323.26000	4198307.21000	512738.41000	9.08181	43.90000
